event_id,event_date,event_time,event_type,event_description,highway_id,highway_name,highway_number,road_type,state,district,location,latitude,longitude,landmark,cause,trigger,weather_related,environmental_factor,severity,severity_score,road_status,traffic_impact,delay_minutes,road_blocked,diversion_required,vehicles_affected,fatalities,injuries,vehicles_involved,property_damage,road_damage,weather_condition,temperature,rainfall_mm,visibility_km,wind_speed,snowfall,source_id,source_name,source_type,source_url,published_date,collected_date
E00039,2026-07-14,,Accident,"5 killed, 3 injured in Balotra road accident. <a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxOZkdIZFhha09aRWlpVHZuVWs5NURXSFhnVmMyVFRTU3dCbWtpbmxjSGxLQU5fUUZOVTBwdkdrbHVfYl84alhCd0lPWGlZMUZ2dFRZb3pNZ3FxeWl0M0s1d053MkxBOS1vc19sMW1PNHIwXzI3dTM2ZTR4UlJyMnZudGdPUDVJNFVqTERKZlNseWM2ZTVhQ2gzVkpUcHVxSzNLN1hrMUlKODY0YWhYeWlzNU5hZ3k4VXBi0gG-AUFVX3lxTE9sSlp6eWViZHRBel80Qkh6YThjYnFWd0RpblhXWVRING4zQUpuV293eEhLS1ZRYmxoY0FpTUl6b25mMXpmOEYxRU9Od0ROelhKZFoyaHdwU3REQUdWTDZnOEd5YlA4Rmh1cFNleG9Ncjhjd0ZZakhkWnJ1Z2s3MXpXZktldWNqT1VRNEE3WnBUbFg4QmVmcU1jcFhKb1JCbEV3Z3l6SEVJZVlEQlVYWjBaMFN4Sk9EcDVMeUZWTnc?oc=5"" target=""_blank"">5 killed, 3 injured in Balotra road accident</a>  <font color=""#6f6f6f"">The Times of India</font>",,,,,,,,,,,,,No,,Critical,4,,,,,,,5,3,,,,,,,,,,NEWS_-1120172284507729448,The Times of India,News,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOZkdIZFhha09aRWlpVHZuVWs5NURXSFhnVmMyVFRTU3dCbWtpbmxjSGxLQU5fUUZOVTBwdkdrbHVfYl84alhCd0lPWGlZMUZ2dFRZb3pNZ3FxeWl0M0s1d053MkxBOS1vc19sMW1PNHIwXzI3dTM2ZTR4UlJyMnZudGdPUDVJNFVqTERKZlNseWM2ZTVhQ2gzVkpUcHVxSzNLN1hrMUlKODY0YWhYeWlzNU5hZ3k4VXBi0gG-AUFVX3lxTE9sSlp6eWViZHRBel80Qkh6YThjYnFWd0RpblhXWVRING4zQUpuV293eEhLS1ZRYmxoY0FpTUl6b25mMXpmOEYxRU9Od0ROelhKZFoyaHdwU3REQUdWTDZnOEd5YlA4Rmh1cFNleG9Ncjhjd0ZZakhkWnJ1Z2s3MXpXZktldWNqT1VRNEE3WnBUbFg4QmVmcU1jcFhKb1JCbEV3Z3l6SEVJZVlEQlVYWjBaMFN4Sk9EcDVMeUZWTnc?oc=5,2026-07-14,2026-09-05
E00040,2026-06-16,,Accident,"Video: Lorry, Tractor, Bolero - A Three-Way Crash On Karnataka Highway. <a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxOLTBoeFNoV1pqcGFoaTc4QnpnV3B6d2xFakxTVDRjOHB2U0tiVjlLOXV1QzRiOUdZSzduYlEtcnFHdDd6ZkdoYTdscHp0UTloaWlxeWFRNEp2UFRoaFRQeC1YM0hoTy1qTW5kVUNXYlYzVHVUbkZONE00N2lwYUswZXhKd2hoeVBpd0tmNjYxeHh2djV0YjNoMzc4YVFqM2tiSzRCYWZXWWN3d9IBsgFBVV95cUxOazVERFQ3T1RnejN4QlZNNWxEZU5NWTJSbWhPSWlRV2FfWGN1d0lZTEhfd2xMMUMwaHlPTGpmYk43M3JaNm4yOTVXNG9PcHl6Yi1jSGdSV0twZllVVXBuVkhxSHVSdmVEUHo2aEtUUFRqLVdXbG1sWEJ6ekFCYlNWNW9TN2ZxQ3BLc2k3MURKWko3b0FqcGZYNjJxdS1ObnR3N0JuQWNIQ1Buc0dPWkNyZWlR?oc=5"" target=""_blank"">Video: Lorry, Tractor, Bolero - A Three-Way Crash On Karnataka Highway</a>  <font color=""#6f6f6f"">NDTV</font>",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,NEWS_-2352102078706558906,NDTV,News,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOLTBoeFNoV1pqcGFoaTc4QnpnV3B6d2xFakxTVDRjOHB2U0tiVjlLOXV1QzRiOUdZSzduYlEtcnFHdDd6ZkdoYTdscHp0UTloaWlxeWFRNEp2UFRoaFRQeC1YM0hoTy1qTW5kVUNXYlYzVHVUbkZONE00N2lwYUswZXhKd2hoeVBpd0tmNjYxeHh2djV0YjNoMzc4YVFqM2tiSzRCYWZXWWN3d9IBsgFBVV95cUxOazVERFQ3T1RnejN4QlZNNWxEZU5NWTJSbWhPSWlRV2FfWGN1d0lZTEhfd2xMMUMwaHlPTGpmYk43M3JaNm4yOTVXNG9PcHl6Yi1jSGdSV0twZllVVXBuVkhxSHVSdmVEUHo2aEtUUFRqLVdXbG1sWEJ6ekFCYlNWNW9TN2ZxQ3BLc2k3MURKWko3b0FqcGZYNjJxdS1ObnR3N0JuQWNIQ1Buc0dPWkNyZWlR?oc=5,2026-06-16,2026-09-05
E00041,2026-07-23,,,"Global road deaths fall 21%, but South-East Asia sees just 2% decline: WHO. <a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxOMkUwd1N5Rmpkd1Y0OW04UEpRYWdlOV93TVRQeWhFcG5MM21mUkVGdno3T2NvOEFBNkU0MXNqMUZ0TElSemRfSWw1aFVpdWlGdlF3eEpZVUo5d3FnYVlSd1Rta3lDYk1WdUw2bmhILWJ4dDFwa0t3Y3dCcW95Y0IyQWdSSUszVWI0bGF0M0c2VnJYWnR6cHlRcmM0N0NoWlJMZmJjeU1VTDZmOWRLVVJxVGp30gG_AUFVX3lxTE45dnNFd1BzQnJnX1NLbXJGazJDOXlzZjkxMnZPT2VuQmJYbG1iR3BvdnJ1LWp4RE5Fb19vdFpwSXRoRVdQREZNZTRGSHJaTHdZb0dsZk8teE5wSHVvTm52bGVBV0E2TlR0OVk4elcybUl5bXVSOUVyOGxlUUdXd3ItS2FkZUtuaVlMTVVIT1NaNlJGQ1RyTFhKNUExczNRcEFtSmtLRGJhR1VESDE4eTUybHNZenRweFdqdXV6cWV3?oc=5"" target=""_blank"">Global road deaths fall 21%, but South-East Asia sees just 2% decline: WHO</a>  <font color=""#6f6f6f"">downtoearth.org.in</font>",,,,,,,,,,,,,No,,Critical,4,,,,,,,,,,,,,,,,,,NEWS_-8487517634793149072,downtoearth.org.in,News,https://news.google.com/rss/articles/CBMisgFBVV95cUxOMkUwd1N5Rmpkd1Y0OW04UEpRYWdlOV93TVRQeWhFcG5MM21mUkVGdno3T2NvOEFBNkU0MXNqMUZ0TElSemRfSWw1aFVpdWlGdlF3eEpZVUo5d3FnYVlSd1Rta3lDYk1WdUw2bmhILWJ4dDFwa0t3Y3dCcW95Y0IyQWdSSUszVWI0bGF0M0c2VnJYWnR6cHlRcmM0N0NoWlJMZmJjeU1VTDZmOWRLVVJxVGp30gG_AUFVX3lxTE45dnNFd1BzQnJnX1NLbXJGazJDOXlzZjkxMnZPT2VuQmJYbG1iR3BvdnJ1LWp4RE5Fb19vdFpwSXRoRVdQREZNZTRGSHJaTHdZb0dsZk8teE5wSHVvTm52bGVBV0E2TlR0OVk4elcybUl5bXVSOUVyOGxlUUdXd3ItS2FkZUtuaVlMTVVIT1NaNlJGQ1RyTFhKNUExczNRcEFtSmtLRGJhR1VESDE4eTUybHNZenRweFdqdXV6cWV3?oc=5,2026-07-23,2026-09-05
E00042,2026-07-13,,,"4 Techies Die After Car Rams Truck. They Were Driving To Jim Corbett Park. <a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxOMFlMWEpVUkc0RlZQUFNjV1F4NXZOY0dJaDJYYm15VmpLS3g1WFcyZFhYVU03eDEwX3pDV3VpNkY2dDE4QjFiV1B3N2RPclpLNnlJRGRyazVYZjZhSUNkTktnRE5ORjRoQ1VoeEVXZ0ZYUFFWUERHVjNDdTdwcXo2eS1wc2o4NnA0M0t3YWtYU05ZMGZ1dmFEOFhPZGhSYUNWZjdKY0Etay10V1U2ejUtX2tUTdIBuwFBVV95cUxNc0NUNVgwSlE4UFduSXI4Z3FqcUNXaXNIVjIxQTJPWjlCLUNzS3Nhdy1PNjl6WXg4TWpiZkE2RGtDRXR6Q2pKeFFMdnFhcTNhTEhmd0hpXzVtdTh3MGYzRWlTOE9nb2Q1OWNLZDQwdEthQUZZWWM3amVhYTlheTFDcGl3UnJYQkVGWENwZ2JNcFpNNTlfV3BhQm1RY2FmVXlaOVVobVdTc25WM3U2cFBmSVp0UEotbTFqZ25z?oc=5"" target=""_blank"">4 Techies Die After Car Rams Truck. They Were Driving To Jim Corbett Park</a>  <font color=""#6f6f6f"">NDTV</font>",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,NEWS_-5295715327896229197,NDTV,News,https://news.google.com/rss/articles/CBMiswFBVV95cUxOMFlMWEpVUkc0RlZQUFNjV1F4NXZOY0dJaDJYYm15VmpLS3g1WFcyZFhYVU03eDEwX3pDV3VpNkY2dDE4QjFiV1B3N2RPclpLNnlJRGRyazVYZjZhSUNkTktnRE5ORjRoQ1VoeEVXZ0ZYUFFWUERHVjNDdTdwcXo2eS1wc2o4NnA0M0t3YWtYU05ZMGZ1dmFEOFhPZGhSYUNWZjdKY0Etay10V1U2ejUtX2tUTdIBuwFBVV95cUxNc0NUNVgwSlE4UFduSXI4Z3FqcUNXaXNIVjIxQTJPWjlCLUNzS3Nhdy1PNjl6WXg4TWpiZkE2RGtDRXR6Q2pKeFFMdnFhcTNhTEhmd0hpXzVtdTh3MGYzRWlTOE9nb2Q1OWNLZDQwdEthQUZZWWM3amVhYTlheTFDcGl3UnJYQkVGWENwZ2JNcFpNNTlfV3BhQm1RY2FmVXlaOVVobVdTc25WM3U2cFBmSVp0UEotbTFqZ25z?oc=5,2026-07-13,2026-09-05
E00043,2026-05-21,,Accident,"For India’s Road Accident Survivors, Legal Compensation Is Elusive. <a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNTW53SUNSdmFDQ2lnRFVnLXc5VnoyWVhEbDlVdGJzaDlWT0s0a01NWTUzT1hpS0ZsQWR6MUw0VHZCdlpZTjFYaERfOTJlSmhiM1JadDhhV0Y4dXllZnBKQTVxSEpFZ0twWGY5NGJ4WFBZaXNTQVJLZEpTNl9LcFAtU1dDMkRYUFRqSGZVV0hVdHE0ajhXM1B3WGVUWlB1ZVVpNDlaVzZ0b9IBrAFBVV95cUxNb2k5TENhMS1UeG1rS2sxUjBIVm5JSk1CRHFkWl9QMlVNdEY5VzZwaG5jYURuYnFlbjFKYkpaMzIyaWF6OU5BdGh4cS0xRlJLbVBjZkhDUmUyUTV4a1poZzFHQWV2NEZveG9rZDdwcFlOWGZBbVlpRFB3TDExNkxoZ0ViaDdBR0ZGYTNkcFRuLWtSTkM5NlhMWjNGRnAyT3Nub2NJRm5HVTc1SVp6?oc=5"" target=""_blank"">For India’s Road Accident Survivors, Legal Compensation Is Elusive</a>  <font color=""#6f6f6f"">TheWire.in</font>",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,NEWS_-3496485673582789286,TheWire.in,News,https://news.google.com/rss/articles/CBMipwFBVV95cUxNTW53SUNSdmFDQ2lnRFVnLXc5VnoyWVhEbDlVdGJzaDlWT0s0a01NWTUzT1hpS0ZsQWR6MUw0VHZCdlpZTjFYaERfOTJlSmhiM1JadDhhV0Y4dXllZnBKQTVxSEpFZ0twWGY5NGJ4WFBZaXNTQVJLZEpTNl9LcFAtU1dDMkRYUFRqSGZVV0hVdHE0ajhXM1B3WGVUWlB1ZVVpNDlaVzZ0b9IBrAFBVV95cUxNb2k5TENhMS1UeG1rS2sxUjBIVm5JSk1CRHFkWl9QMlVNdEY5VzZwaG5jYURuYnFlbjFKYkpaMzIyaWF6OU5BdGh4cS0xRlJLbVBjZkhDUmUyUTV4a1poZzFHQWV2NEZveG9rZDdwcFlOWGZBbVlpRFB3TDExNkxoZ0ViaDdBR0ZGYTNkcFRuLWtSTkM5NlhMWjNGRnAyT3Nub2NJRm5HVTc1SVp6?oc=5,2026-05-21,2026-09-05
E00044,2026-08-07,,Accident,"35-yr-old man dies in road accident on Pune–Mumbai Expressway ‘Missing Link’ | India News. <a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOMEFKd2JHQVEtQl9yYmJFRFNSamtmZ2VfVFhEdjhpMHQzOXY0aU1icTBfYTJraGxHQWE5X3hzMmR6bDNzVUE0SGVJbWlWZ3dqRmJ3SWxtUThsREVDb2VlZUl5YkJyaVpwQVFZMjlzYWw3d0FsNmdMM1RWd3hrZHVZdlZINHVMQUJGVG9ndXkxbEdmS2kyTnpsOE9BRjdackhabkF3eXQwQWJlY3RNczdGeFdidjVVcnhNRDVpTkVxUVJiQVFZZFZtbWFLX3VQOFFu0gHWAUFVX3lxTE42TUxrdlFIODFGZ2ZGSm0wWjhwNmNCQkhkcTFhN0o2SDB2QmpFeWFKVksybzMwTXVGWW1NM2ZYS19EbWFzR3ZOZTQ2Y2RGTXExdEg0LU53UkpwdW15dzAyTzhKTW5Ldk91eWRVMXZkSUZUQkQ0VmxCQTdIeXd3VUtMT2RUZVpSRnl1WGh1MHRaLWI4SWlDRWRPc3RrN0tudGhvNXNnWERzR0VDR3V4WDVKNjE2S1ZOXzBITHVSNnFISGs3REl5MFItbHphTEFmcWxVT0tvcEE?oc=5"" target=""_blank"">35-yr-old man dies in road accident on Pune–Mumbai Expressway ‘Missing Link’ | India News</a>  <font color=""#6f6f6f"">Hindustan Times</font>",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,NEWS_-7364370016920703767,Hindustan Times,News,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOMEFKd2JHQVEtQl9yYmJFRFNSamtmZ2VfVFhEdjhpMHQzOXY0aU1icTBfYTJraGxHQWE5X3hzMmR6bDNzVUE0SGVJbWlWZ3dqRmJ3SWxtUThsREVDb2VlZUl5YkJyaVpwQVFZMjlzYWw3d0FsNmdMM1RWd3hrZHVZdlZINHVMQUJGVG9ndXkxbEdmS2kyTnpsOE9BRjdackhabkF3eXQwQWJlY3RNczdGeFdidjVVcnhNRDVpTkVxUVJiQVFZZFZtbWFLX3VQOFFu0gHWAUFVX3lxTE42TUxrdlFIODFGZ2ZGSm0wWjhwNmNCQkhkcTFhN0o2SDB2QmpFeWFKVksybzMwTXVGWW1NM2ZYS19EbWFzR3ZOZTQ2Y2RGTXExdEg0LU53UkpwdW15dzAyTzhKTW5Ldk91eWRVMXZkSUZUQkQ0VmxCQTdIeXd3VUtMT2RUZVpSRnl1WGh1MHRaLWI4SWlDRWRPc3RrN0tudGhvNXNnWERzR0VDR3V4WDVKNjE2S1ZOXzBITHVSNnFISGs3REl5MFItbHphTEFmcWxVT0tvcEE?oc=5,2026-08-07,2026-09-05
E00045,2026-05-09,,,"India’s Rising Traffic Deaths, Causes, Challenges, Road Safety Reforms. <a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTE9SZXRUYXdtSXgtdy16MDJRWXJfVVFOR19vTEZxSkU1VWxEUm9hRnNNZ0x3V0dMZHFXVGVsLXBDR0ZxbE12UVJCa1NqT0YwTU1OekJWZ0NTa1FhelRrSFZnZDN4b3hycXM3MjBqbXFEQzhNZ1g0T2lkaFdkVWI?oc=5"" target=""_blank"">India’s Rising Traffic Deaths, Causes, Challenges, Road Safety Reforms</a>  <font color=""#6f6f6f"">Vajiram & Ravi</font>",,,,,,,,,,,,,No,,Critical,4,,,,,,,,,,,,,,,,,,NEWS_-2329288647178653025,Vajiram & Ravi,News,https://news.google.com/rss/articles/CBMifEFVX3lxTE9SZXRUYXdtSXgtdy16MDJRWXJfVVFOR19vTEZxSkU1VWxEUm9hRnNNZ0x3V0dMZHFXVGVsLXBDR0ZxbE12UVJCa1NqT0YwTU1OekJWZ0NTa1FhelRrSFZnZDN4b3hycXM3MjBqbXFEQzhNZ1g0T2lkaFdkVWI?oc=5,2026-05-09,2026-09-05
E00046,2026-07-28,,Accident,"Road Safety in India: Why Stronger Laws Alone Cannot Prevent Road Accident Deaths. <a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxPb3lIWUhYNElTengtcUFNTmhZdjByRG40eXQ0WTFFdzR4cXVDR2ZEaUFEWDRQRF9sLW0ycENwQ2ozS3FVM3ZQdWdabExlWlh2cElVb2p3LUE5Ny01QnBrdTMyYVRIdG5JX0lSX3ljdFNFbU1acmFRdGgzX0tRRVFkZ0VzbkdkbTlkOHNxRUNrdm5qMlh3aWNzOWcxYWEyejJBZ2xnV2pKYw?oc=5"" target=""_blank"">Road Safety in India: Why Stronger Laws Alone Cannot Prevent Road Accident Deaths</a>  <font color=""#6f6f6f"">Daily Pioneer</font>",,,,,,,,,,,,,No,,Critical,4,,,,,,,,,,,,,,,,,,NEWS_-682099125420066670,Daily Pioneer,News,https://news.google.com/rss/articles/CBMipwFBVV95cUxPb3lIWUhYNElTengtcUFNTmhZdjByRG40eXQ0WTFFdzR4cXVDR2ZEaUFEWDRQRF9sLW0ycENwQ2ozS3FVM3ZQdWdabExlWlh2cElVb2p3LUE5Ny01QnBrdTMyYVRIdG5JX0lSX3ljdFNFbU1acmFRdGgzX0tRRVFkZ0VzbkdkbTlkOHNxRUNrdm5qMlh3aWNzOWcxYWEyejJBZ2xnV2pKYw?oc=5,2026-07-28,2026-09-05
E00047,2026-05-19,,Accident,"MP records second-highest road accident cases in country. <a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQblhaOVBFcDh2V3ZfMVFOU2lidmUyVDR0QmJyVXZQeHQ1UlA0bXA3ZjMySnVULU41R2pXVEJUVXIyZFRzYzVOdFlROUJUV01PbnFoTExTY0NTaWtpbG9FZlBWUmZDZXM5U00wU1RfQVZEdm51akk1MkJkUkxrM0QzT24wV2JDWjdCTmozS01KdkFBc3FZMGpwZ1djV01sWUJVYXZEOGRDNEg3NzVjb3d5WGhYaUpJOWhYN3JLOE5LM2NuX3NkOUpiRlhR0gHPAUFVX3lxTFBsSzJWUUVMNlB1Q1FRbTNGYTJaRFY3S3p6U18wV05ycmcxSmwxWmRYMF9reGxWdXV6VGlESGhHQUVkV0JYdUtuTDVXbzVHb1JuWmlkOVpELWJSUURQeDQ3TnF0MWtTVlRrZmVzWlFUdHFKWHhQa0hETV9YbUdLY19lU3ZoU1ZtcjFFa3pwOHhqM1BRQ3JydTdVckY0SjFjYnJITUNxOTBoaUh1bkxEWHBhWlU0X1Aza201Y1dWOGZoaFlPYWJEUmxoUDQ2X1ItQQ?oc=5"" target=""_blank"">MP records second-highest road accident cases in country</a>  <font color=""#6f6f6f"">The Times of India</font>",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,NEWS_-4997917140928854315,The Times of India,News,https://news.google.com/rss/articles/CBMiygFBVV95cUxQblhaOVBFcDh2V3ZfMVFOU2lidmUyVDR0QmJyVXZQeHQ1UlA0bXA3ZjMySnVULU41R2pXVEJUVXIyZFRzYzVOdFlROUJUV01PbnFoTExTY0NTaWtpbG9FZlBWUmZDZXM5U00wU1RfQVZEdm51akk1MkJkUkxrM0QzT24wV2JDWjdCTmozS01KdkFBc3FZMGpwZ1djV01sWUJVYXZEOGRDNEg3NzVjb3d5WGhYaUpJOWhYN3JLOE5LM2NuX3NkOUpiRlhR0gHPAUFVX3lxTFBsSzJWUUVMNlB1Q1FRbTNGYTJaRFY3S3p6U18wV05ycmcxSmwxWmRYMF9reGxWdXV6VGlESGhHQUVkV0JYdUtuTDVXbzVHb1JuWmlkOVpELWJSUURQeDQ3TnF0MWtTVlRrZmVzWlFUdHFKWHhQa0hETV9YbUdLY19lU3ZoU1ZtcjFFa3pwOHhqM1BRQ3JydTdVckY0SjFjYnJITUNxOTBoaUh1bkxEWHBhWlU0X1Aza201Y1dWOGZoaFlPYWJEUmxoUDQ2X1ItQQ?oc=5,2026-05-19,2026-09-05
E00048,2026-08-08,,Accident,"Haryana cop's son driving Mercedes crashes head-on into car, kills passer-by. <a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPVEtNMVhTTmc5cGNsY1MwSElyOHF1dWp3eHhTVXBpRzIxOWk0NXhleTBxb3diajJnMlJxQ1oxVlp6YVl4SnFISURoX2lOU19ZbkNMdDlsUUZTcHZhU2g3Um5mdkd3N0d2Z0lUV1AyVlpnVi1vMS1nUndjajJaTGU1U0lTUnFLTkQzY3NUUnBxS01DVnhCbXM3RVh2YjRjNXp2eVNaQ2dYZW5OZE51Y21JcTdFU1FvRnpUOENjMG0ySGN5cklBV1M4dXc0bUJUQUlqVlByY1Z4NFFTZWxxRVZ30gHkAUFVX3lxTE9qUUdBMXpuOW9yV3N3UXIxR0cwVkFyVWdscVZiVlN0VE1ZZjI3WlF5cnZNVVdkVUNVaHd6RmRKOGlBMFhMN2h2OXltWmhySWlzWDZnSDZ5X1llMHVMMFRhaG5uWWNQSVlqbkdMMWxwdGJmSjluR0V3RUJscHBUSnRkY2xEeUdoTUpQa3hNdERTME1nRnpsZVQ1ZnhqWDRqOTBmekdLXzZ6eXI4aUdCcmRjcGVPNHB3bkwzY1NMMjBMeXpPT2s4NEJJTFB6czdBZm14MmpIdmdJeG9ucnNybTR0SVg3Wg?oc=5"" target=""_blank"">Haryana cop's son driving Mercedes crashes head-on into car, kills passer-by</a>  <font color=""#6f6f6f"">India Today</font>",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,NEWS_6255885131384928154,India Today,News,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPVEtNMVhTTmc5cGNsY1MwSElyOHF1dWp3eHhTVXBpRzIxOWk0NXhleTBxb3diajJnMlJxQ1oxVlp6YVl4SnFISURoX2lOU19ZbkNMdDlsUUZTcHZhU2g3Um5mdkd3N0d2Z0lUV1AyVlpnVi1vMS1nUndjajJaTGU1U0lTUnFLTkQzY3NUUnBxS01DVnhCbXM3RVh2YjRjNXp2eVNaQ2dYZW5OZE51Y21JcTdFU1FvRnpUOENjMG0ySGN5cklBV1M4dXc0bUJUQUlqVlByY1Z4NFFTZWxxRVZ30gHkAUFVX3lxTE9qUUdBMXpuOW9yV3N3UXIxR0cwVkFyVWdscVZiVlN0VE1ZZjI3WlF5cnZNVVdkVUNVaHd6RmRKOGlBMFhMN2h2OXltWmhySWlzWDZnSDZ5X1llMHVMMFRhaG5uWWNQSVlqbkdMMWxwdGJmSjluR0V3RUJscHBUSnRkY2xEeUdoTUpQa3hNdERTME1nRnpsZVQ1ZnhqWDRqOTBmekdLXzZ6eXI4aUdCcmRjcGVPNHB3bkwzY1NMMjBMeXpPT2s4NEJJTFB6czdBZm14MmpIdmdJeG9ucnNybTR0SVg3Wg?oc=5,2026-08-08,2026-09-05
E00049,2026-07-22,,Accident,"3 Of Hyderabad Family Die In Road Accident In US. <a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxObGxHOGphU1g1eEhSelJsamdKaDZNQ3F0c3E4NzYwQms0eUpjX2pCbnIwamVWMlEtYUtCSDJVR01sWlUwYnZsYUVZX216MW43YV9kaVNqTmQyZ01URFRZNmNHR0Q1aGl3QW1nVGYxNWZKMG5jT0tSQ0pkZV9YTkt2X1Bla0RIalBMU3YwZmVDSlFNVlnSAZsBQVVfeXFMT2toWG0wdkVTdGxKbkhhcVRHWGc4b2VmQV9rVnRoY2x3Uk5hYUFUWDZzZk9FeHFfSEZrSVdfclpLdjRFbVNCbUhWdU5YV3NQd1EzOHJibE9WaVdsVDM3ZjhDM3MwczNKX3lPcFFORkt2c1RINm1EaG40MmlrWFNTd1M5R05ZaHVtWXJXWk9YeTJ4cjdwalZwdGZSUG8?oc=5"" target=""_blank"">3 Of Hyderabad Family Die In Road Accident In US</a>  <font color=""#6f6f6f"">NDTV</font>",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,NEWS_-6490658061691919380,NDTV,News,https://news.google.com/rss/articles/CBMikwFBVV95cUxObGxHOGphU1g1eEhSelJsamdKaDZNQ3F0c3E4NzYwQms0eUpjX2pCbnIwamVWMlEtYUtCSDJVR01sWlUwYnZsYUVZX216MW43YV9kaVNqTmQyZ01URFRZNmNHR0Q1aGl3QW1nVGYxNWZKMG5jT0tSQ0pkZV9YTkt2X1Bla0RIalBMU3YwZmVDSlFNVlnSAZsBQVVfeXFMT2toWG0wdkVTdGxKbkhhcVRHWGc4b2VmQV9rVnRoY2x3Uk5hYUFUWDZzZk9FeHFfSEZrSVdfclpLdjRFbVNCbUhWdU5YV3NQd1EzOHJibE9WaVdsVDM3ZjhDM3MwczNKX3lPcFFORkt2c1RINm1EaG40MmlrWFNTd1M5R05ZaHVtWXJXWk9YeTJ4cjdwalZwdGZSUG8?oc=5,2026-07-22,2026-09-05
E00050,2026-07-09,,Accident,"Seven dead, two injured in Karnataka highway accident. <a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxQS0RWZzAxNGlVQmVlbGNkYVVrNmMtMlI5ODFvRkV2T1F2dkRRcEYzRHZoOS05azlEaFB6OElTRVp2X2RYcWZMNWpkUXRybW8ya1VCMTluWmVoalFJUG9MOFJrT2dvdWpaYW9BRHlnMVJneFBWVHJESklnbGFTSE4zX083R1Frdw?oc=5"" target=""_blank"">Seven dead, two injured in Karnataka highway accident</a>  <font color=""#6f6f6f"">Telangana Today</font>",,,,,,,,,,,,,No,,High,3,,,,,,,,,,,,,,,,,,NEWS_8113374787380095783,Telangana Today,News,https://news.google.com/rss/articles/CBMihgFBVV95cUxQS0RWZzAxNGlVQmVlbGNkYVVrNmMtMlI5ODFvRkV2T1F2dkRRcEYzRHZoOS05azlEaFB6OElTRVp2X2RYcWZMNWpkUXRybW8ya1VCMTluWmVoalFJUG9MOFJrT2dvdWpaYW9BRHlnMVJneFBWVHJESklnbGFTSE4zX083R1Frdw?oc=5,2026-07-09,2026-09-05
