S. No.,Month,Crash Date,Crash Day,Article Date,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type,Latitude,Longitude,Age_Count,Average_Age,Minimum_Age,Maximum_Age,Object_2_Type,Crash_Year,Crash_Month_Number,Crash_Day_Number
2492,August,2023-08-07,Monday,2023-08-08,East Khasi Hills,Nil,Meghalaya,"25.300237533937473, 91.721516168988",TRUCK,GORGE,3,2,,MALE,SH,Vehicle Overturn,25.300237533937477,91.721516168988,,,,,OBJECT,2023,8,0
2493,August,2023-08-07,Monday,2023-08-09,Dengarbond,Nil,Assam,"24.489269130175998, 92.32088668537024",AUTO RICKSHAW,TRUCK,3,4,48,BOTH,NH,With Parked Vehicle,24.489269130176,92.32088668537024,1.0,48.0,48.0,48.0,VEHICLE,2023,8,0
2494,August,2023-08-08,Tuesday,2023-08-09,Danpur,Nil,Uttar Pradesh,"28.195515241977162, 78.2066165868646",VAN,UNIDENTIFIED,4,1,"25,18,20,18",MALE,NH,Hit and Run,28.19551524197716,78.2066165868646,4.0,20.25,18.0,25.0,UNKNOWN,2023,8,1
2496,August,2023-08-08,Tuesday,2023-08-09,Mashobra,Nil,Himachal Pradesh,"31.11378662074655, 77.24902954991805",PICK UP,TRUCK,2,0,,,NH,Head On Collision,31.11378662074655,77.24902954991805,,,,,VEHICLE,2023,8,1
2497,August,2023-08-09,Wednesday,2023-08-10,Aikala,Nil,Karnataka,"13.074535702868497, 74.86041520538336",CAR,TRUCK,1,4,48,MALE,SH,Others,13.074535702868497,74.86041520538336,1.0,48.0,48.0,48.0,VEHICLE,2023,8,2
2498,August,2023-08-09,Wednesday,2023-08-10,Gollaradoddi,Nil,Karnataka,"12.858929474582107, 77.29557672731572",PEDESTRIAN,PICK UP,2,7,"5,8",BOTH,SH,Hit and Run,12.858929474582109,77.29557672731572,2.0,6.5,5.0,8.0,VEHICLE,2023,8,2
2499,August,2023-08-09,Wednesday,2023-08-10,Chakan Petrol Depot,Nil,Maharashtra,"18.760809982696408, 73.8595543897488",TWO WHEELER,TRUCK,1,0,40,MALE,NH,Others,18.760809982696408,73.8595543897488,1.0,40.0,40.0,40.0,VEHICLE,2023,8,2
2500,August,2023-08-08,Tuesday,2023-08-10,Shikrapur Road,Nil,Maharashtra,"18.752416135806623, 73.86340955037326",TWO WHEELER,TRUCK,1,1,19,FEMALE,NH,Hit From Back,18.752416135806623,73.86340955037326,1.0,19.0,19.0,19.0,VEHICLE,2023,8,1
2501,August,2023-08-10,Thursday,2023-08-11,NH1-Samrala Road,Nil,Punjab,"30.834867727188282, 76.19018025869389",TWO WHEELER,CAR,1,0,65,MALE,SH,Head On Collision,30.83486772718828,76.19018025869389,1.0,65.0,65.0,65.0,VEHICLE,2023,8,3
2502,August,2023-08-09,Wednesday,2023-08-11,GT Road,Ludhiana,Punjab,"30.903301297560976, 75.88262065529933",PEDESTRIAN,CAR,1,0,28,MALE,NH,Hit and Run,30.903301297560976,75.88262065529933,1.0,28.0,28.0,28.0,VEHICLE,2023,8,2
