S. No.,Month,Crash Date,Crash Day,Article Date,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type,Latitude,Longitude,Age_Count,Average_Age,Minimum_Age,Maximum_Age,Object_2_Type,Crash_Year,Crash_Month_Number,Crash_Day_Number
1,January,2021-12-31,Friday,2022-01-01,Alni,Nil,Maharashtra,"18.278457450374876, 76.00957388786227",CAR,TRACTOR,4,0,"70,50,45,23",BOTH,NH,Head On Collision,18.27845745037488,76.00957388786227,4.0,47.0,23.0,70.0,VEHICLE,2021,12,4
2,January,2021-12-31,Friday,2022-01-01,Hariharganj,Nil,Jharkhand,"24.543681356839087, 84.28057070288547",PICK UP,TRUCK,6,18,,BOTH,NH,Head On Collision,24.543681356839087,84.28057070288547,,,,,VEHICLE,2021,12,4
3,January,2021-12-30,Thursday,2022-01-01,Dabolim,Nil,Goa,"15.390068035586195, 73.85497360324335",CAR,DIVIDER,3,2,"27,24,24",MALE,NH,Fixed Object Collision,15.390068035586197,73.85497360324335,3.0,25.0,24.0,27.0,OBJECT,2021,12,3
6,January,2021-12-30,Thursday,2022-01-01,Lampolai,Nil,Rajasthan,"26.64362250050694, 74.19299113226057",TWO WHEELER,CAR,4,2,,,NH,Head On Collision,26.64362250050694,74.19299113226057,,,,,VEHICLE,2021,12,3
7,January,2021-12-30,Thursday,2022-01-01,Tanot,Nil,Rajasthan,"27.793665237757928, 70.35519318244828",CAR,CAR,2,9,,,NH,Head On Collision,27.793665237757928,70.35519318244828,,,,,VEHICLE,2021,12,3
8,January,2021-12-30,Thursday,2022-01-01,Mettupalayam,Coimbatore,Tamil Nadu,"11.299962063279324, 76.94191717015218",TWO WHEELER,TWO WHEELER,1,1,29,FEMALE,SH,Hit From Side,11.299962063279324,76.94191717015218,1.0,29.0,29.0,29.0,VEHICLE,2021,12,3
9,January,2022-01-01,Saturday,2022-01-02,Military Jalipa Cantt,Nil,Rajasthan,"25.808661598311467, 71.40488769828872",TWO WHEELER,TRUCK,1,0,,MALE,NH,Others,25.808661598311467,71.40488769828872,,,,,VEHICLE,2022,1,5
10,January,2021-12-31,Friday,2022-01-02,Zaheerabad,Nil,Telangana,"17.692782870071433, 77.62231729628967",TWO WHEELER,CAR,4,0,,BOTH,NH,Head On Collision,17.692782870071433,77.62231729628967,,,,,VEHICLE,2021,12,4
11,January,2022-01-01,Saturday,2022-01-02,Nagarkurnool,Nil,Telangana,"16.48884543363603, 78.3091303972808",TWO WHEELER,CAR,2,0,"19,14",MALE,SH,Head On Collision,16.48884543363603,78.3091303972808,2.0,16.5,14.0,19.0,VEHICLE,2022,1,5
13,January,2022-01-01,Saturday,2022-01-02,Sikar Road,Jaipur,Rajasthan,"27.011963538352493, 75.76932901260889",PEDESTRIAN,CAR,1,0,32,MALE,NH,Hit and Run,27.011963538352493,75.76932901260889,1.0,32.0,32.0,32.0,VEHICLE,2022,1,5
14,January,2022-01-01,Saturday,2022-01-02,Pista Chowk,Nil,Bihar,"25.188347677151736, 86.97434233075197",TWO WHEELER,TRUCK,3,0,"21,20,22",MALE,SH,Others,25.188347677151736,86.97434233075197,3.0,21.0,20.0,22.0,VEHICLE,2022,1,5
16,January,2022-01-01,Saturday,2022-01-02,Muzaffarnagar,Nil,Uttar Pradesh,"29.47257166225623, 77.71737212387585",BUS,TRUCK,2,2,"75,28",MALE,SH,Others,29.47257166225623,77.71737212387585,2.0,51.5,28.0,75.0,VEHICLE,2022,1,5
18,January,2021-12-31,Friday,2022-01-02,Injambakkam,Chennai,Tamil Nadu,"12.917305822072388, 80.25066287055597",TWO WHEELER,DIVIDER,1,0,21,MALE,SH,Fixed Object Collision,12.917305822072388,80.25066287055597,1.0,21.0,21.0,21.0,OBJECT,2021,12,4
19,January,2022-01-01,Saturday,2022-01-03,Sitra Junction,Coimbatore,Tamil Nadu,"11.038158152772837, 77.03756589670454",TWO WHEELER,BUS,1,0,47,MALE,NH,Hit From Side,11.038158152772835,77.03756589670454,1.0,47.0,47.0,47.0,VEHICLE,2022,1,5
20,January,2022-01-01,Saturday,2022-01-03,Targhar,Mumbai,Maharashtra,"18.991748018503824, 73.03711475232855",TWO WHEELER,UNIDENTIFIED,1,1,24,FEMALE,NH,Hit and Run,18.991748018503824,73.03711475232855,1.0,24.0,24.0,24.0,UNKNOWN,2022,1,5
22,January,2022-01-02,Sunday,2022-01-03,Hokrani Cross,Nil,Karnataka,"16.572508890221638, 75.9754540804605",CAR,TWO WHEELER,1,4,31,FEMALE,SH,Others,16.572508890221638,75.9754540804605,1.0,31.0,31.0,31.0,VEHICLE,2022,1,6
23,January,2022-01-02,Sunday,2022-01-03,Bevur Cross,Nil,Karnataka,"14.89006685560942, 76.22398648067914",CAR,NIL,1,7,47,FEMALE,SH,Vehicle Overturn,14.89006685560942,76.22398648067914,1.0,47.0,47.0,47.0,UNKNOWN,2022,1,6
24,January,2022-01-02,Sunday,2022-01-04,Sidedahalli,Bengaluru,Karnataka,"13.066746957230484, 77.50327116691861",TWO WHEELER,TRUCK,1,0,55,MALE,SH,With Parked Vehicle,13.066746957230484,77.50327116691861,1.0,55.0,55.0,55.0,VEHICLE,2022,1,6
25,January,2022-01-02,Sunday,2022-01-04,Nagavara,Bengaluru,Karnataka,"13.040914155489357, 77.61704511801918",TWO WHEELER,POLE,1,1,27,MALE,NH,Fixed Object Collision,13.040914155489356,77.61704511801918,1.0,27.0,27.0,27.0,OBJECT,2022,1,6
26,January,2022-01-04,Tuesday,2022-01-04,Peroorkada,Thiruvananthapuram,Kerala,"8.541149770701736, 76.97003582907308",TWO WHEELER,TREE,3,0,"16,16,16",MALE,SH,Fixed Object Collision,8.541149770701736,76.97003582907308,3.0,16.0,16.0,16.0,OBJECT,2022,1,1
28,January,2022-01-04,Tuesday,2022-01-05,Bala,Nil,Gujarat,"22.776769204616333, 71.72962248310266",CAR,NIL,2,0,"67,62",BOTH,SH,Run Off Road,22.776769204616333,71.72962248310266,2.0,64.5,62.0,67.0,UNKNOWN,2022,1,1
29,January,2022-01-03,Monday,2022-01-05,Gondal,Nil,Gujarat,"21.972787525777935, 70.78862073790624",CAR,TRUCK,2,0,,,NH,Head On Collision,21.97278752577793,70.78862073790624,,,,,VEHICLE,2022,1,0
30,January,2022-01-03,Monday,2022-01-05,Dhrol,Nil,Gujarat,"22.560348618536842, 70.4258539831936",TWO WHEELER,BUS,2,0,"18,25",MALE,SH,Others,22.56034861853684,70.4258539831936,2.0,21.5,18.0,25.0,VEHICLE,2022,1,0
31,January,2022-01-03,Monday,2022-01-05,Undri,Pune,Maharashtra,"18.45072219760597, 73.91614459634192",CAR,TRUCK,1,0,50,MALE,NH,Hit From Back,18.45072219760597,73.91614459634192,1.0,50.0,50.0,50.0,VEHICLE,2022,1,0
32,January,2022-01-02,Sunday,2022-01-05,Katraj-Dehu Bypass,Pune,Maharashtra,"18.486331175038483, 73.79708554934217",TWO WHEELER,UNIDENTIFIED,1,0,36,MALE,NH,Hit and Run,18.486331175038483,73.79708554934217,1.0,36.0,36.0,36.0,UNKNOWN,2022,1,6
34,January,2022-01-02,Sunday,2022-01-05,Gomtinagar,Lucknow,Uttar Pradesh,"26.847744161614127, 81.00770583339522",PEDESTRIAN,UNIDENTIFIED,1,0,28,MALE,NH,Hit and Run,26.847744161614127,81.00770583339522,1.0,28.0,28.0,28.0,UNKNOWN,2022,1,6
35,January,2022-01-06,Thursday,2022-01-06,Purvanchal Expressway Sultanpur,Nil,Uttar Pradesh,"26.23244327782419, 82.075673988543",SUV,DIVIDER,4,2,40,BOTH,NH,Fixed Object Collision,26.23244327782419,82.075673988543,1.0,40.0,40.0,40.0,OBJECT,2022,1,3
37,January,2022-01-04,Tuesday,2022-01-06,Manpur,Nil,Madhya Pradesh,"22.43115195743422, 75.61763951190622",TWO WHEELER,NIL,1,0,25,MALE,NH,Run Off Road,22.43115195743422,75.61763951190622,1.0,25.0,25.0,25.0,UNKNOWN,2022,1,1
39,January,2022-01-06,Thursday,2022-01-07,Hatherua Turn,Nil,Uttar Pradesh,"26.172269871051377, 79.96053447979006",CAR,TREE,3,0,"25,20,21",MALE,SH,Fixed Object Collision,26.172269871051377,79.96053447979006,3.0,22.0,20.0,25.0,OBJECT,2022,1,3
40,January,2022-01-06,Thursday,2022-01-07,Lambasingi,Nil,Andhra Pradesh,"17.819637365225628, 82.4917244273879",TWO WHEELER,LORRY,1,1,13,MALE,NH,Others,17.819637365225628,82.4917244273879,1.0,13.0,13.0,13.0,VEHICLE,2022,1,3
41,January,2022-01-05,Wednesday,2022-01-07,Patancheru,Nil,Telangana,"17.52559528053733, 78.27114402473659",AUTO RICKSHAW,DIVIDER,3,2,"24,34,26",MALE,NH,Fixed Object Collision,17.52559528053733,78.27114402473659,3.0,28.0,24.0,34.0,OBJECT,2022,1,2
42,January,2022-01-06,Thursday,2022-01-08,ORR PES College,Bengaluru,Karnataka,"12.93497388725656, 77.53145535271094",TWO WHEELER,DIVIDER,2,0,"28,30",MALE,SH,Fixed Object Collision,12.93497388725656,77.53145535271094,2.0,29.0,28.0,30.0,OBJECT,2022,1,3
44,January,2022-01-06,Thursday,2022-01-08,Chinyalisour,Nil,Uttarakhand,"30.56554678240335, 78.32522300136368",CAR,GORGE,1,4,40,MALE,NH,Vehicle Overturn,30.56554678240335,78.32522300136368,1.0,40.0,40.0,40.0,OBJECT,2022,1,3
47,January,2022-01-07,Friday,2022-01-08,Sola Overbridge,Ahmedabad,Gujarat,"23.059882776138668, 72.52057320671621",SUV,TRUCK,1,0,20,MALE,NH,Hit From Back,23.059882776138668,72.52057320671621,1.0,20.0,20.0,20.0,VEHICLE,2022,1,4
48,January,2022-01-08,Saturday,2022-01-09,Gopalapuram,Nil,Andhra Pradesh,"17.10266311413749, 81.54442477542945",TWO WHEELER,TRACTOR,1,0,,MALE,NH,Others,17.10266311413749,81.54442477542945,,,,,VEHICLE,2022,1,5
49,January,2022-01-08,Saturday,2022-01-09,Jeelkunta,Nil,Andhra Pradesh,"17.033617916586227, 80.64713177640807",TWO WHEELER,CAR,1,0,,MALE,NH,Head On Collision,17.033617916586227,80.64713177640807,,,,,VEHICLE,2022,1,5
50,January,2022-01-09,Sunday,2022-01-09,Nandgaon,Nil,Maharashtra,"20.313796870359038, 74.66384510003404",BUS,TRUCK,4,14,72,BOTH,SH,Head On Collision,20.31379687035904,74.66384510003404,1.0,72.0,72.0,72.0,VEHICLE,2022,1,6
51,January,2022-01-09,Sunday,2022-01-10,Botad,Nil,Gujarat,"22.17985011402323, 71.65078918083432",VAN,UNIDENTIFIED,5,10,,,SH,Hit and Run,22.17985011402323,71.65078918083432,,,,,UNKNOWN,2022,1,6
52,January,2022-01-09,Sunday,2022-01-10,Sheekanagar,Vizag,Andhra Pradesh,"17.716464062931237, 83.20411089794794",TWO WHEELER,TWO WHEELER,1,0,24,MALE,SH,Others,17.716464062931237,83.20411089794794,1.0,24.0,24.0,24.0,VEHICLE,2022,1,6
53,January,2022-01-09,Sunday,2022-01-10,Botad,Nil,Gujarat,"22.15122333271011, 71.65877930084991",VAN,UNIDENTIFIED,5,10,"27, 48",BOTH,NH,Others,22.15122333271011,71.65877930084991,2.0,37.5,27.0,48.0,UNKNOWN,2022,1,6
54,January,2022-01-09,Sunday,2022-01-10,Lawan,Nil,Chhattisgarh,"21.644400876907138, 82.34278934682449",SUV,NIL,1,5,,FEMALE,NH,Run Off Road,21.644400876907135,82.34278934682449,,,,,UNKNOWN,2022,1,6
55,January,2022-01-09,Sunday,2022-01-10,Mumbai Naka,Mumbai,Maharashtra,"19.9864533330699, 73.78419165143977",BICYCLE,UNIDENTIFIED,1,0,63,MALE,NH,Others,19.9864533330699,73.78419165143977,1.0,63.0,63.0,63.0,UNKNOWN,2022,1,6
56,January,2022-01-10,Monday,2022-01-11,Kumbalagodu,Nil,Karnataka,"12.879137929078608, 77.4456388022993",TWO WHEELER,TRUCK,6,0,"44,40,14,29",BOTH,NH,Others,12.879137929078608,77.4456388022993,4.0,31.75,14.0,44.0,VEHICLE,2022,1,0
57,January,2022-01-10,Monday,2022-01-11,Navale Bridge,Pune,Maharashtra,"18.46087329898162, 73.82215405131329",TWO WHEELER,TRUCK,1,1,30,FEMALE,NH,Hit From Back,18.46087329898162,73.82215405131329,1.0,30.0,30.0,30.0,VEHICLE,2022,1,0
59,January,2022-01-09,Sunday,2022-01-11,Kishangarh,Nil,Rajasthan,"26.589105945186247, 74.85948627660595",TWO WHEELER,TRUCK,1,1,20,FEMALE,NH,Others,26.589105945186247,74.85948627660595,1.0,20.0,20.0,20.0,VEHICLE,2022,1,6
61,January,2022-01-09,Sunday,2022-01-12,RTO Office,Nashik,Maharashtra,"20.033277226299347, 73.79524144570404",TWO WHEELER,POLE,1,0,42,MALE,NH,Fixed Object Collision,20.033277226299347,73.79524144570404,1.0,42.0,42.0,42.0,OBJECT,2022,1,6
62,January,2022-01-09,Sunday,2022-01-12,Nashik Road,Nashik,Maharashtra,"19.969737942887757, 73.81769001774795",TWO WHEELER,TWO WHEELER,2,0,26,MALE,SH,Head On Collision,19.96973794288776,73.81769001774795,1.0,26.0,26.0,26.0,VEHICLE,2022,1,6
63,January,2022-01-11,Tuesday,2022-01-12,Adigoppula,Nil,Andhra Pradesh,"16.436925517988787, 79.61217474801305",CAR,CANAL,3,0,,,SH,Run Off Road,16.436925517988787,79.61217474801305,,,,,OBJECT,2022,1,1
65,January,2022-01-12,Wednesday,2022-01-13,Atlas Chowk,Nil,Haryana,"28.490430130784237, 77.08153241633956",CAR,TRUCK,1,0,27,MALE,NH,With Parked Vehicle,28.49043013078424,77.08153241633956,1.0,27.0,27.0,27.0,VEHICLE,2022,1,2
66,January,2022-01-12,Wednesday,2022-01-14,Budihal Cross,Nil,Karnataka,"13.130457182123903, 77.35974095043811",TWO WHEELER,PICK UP,1,0,19,MALE,NH,Others,13.130457182123903,77.35974095043811,1.0,19.0,19.0,19.0,VEHICLE,2022,1,2
67,January,2022-01-14,Friday,2022-01-14,Kananakatte,Nil,Karnataka,"14.553328636829782, 76.43302899167439",CAR,DIVIDER,7,0,,,NH,Fixed Object Collision,14.553328636829782,76.43302899167439,,,,,OBJECT,2022,1,4
69,January,2022-01-13,Thursday,2022-01-14,Bicholi Mardana,Indore,Madhya Pradesh,"22.708244322203562, 75.92920211827541",TWO WHEELER,PICK UP,3,3,26,BOTH,NH,Others,22.70824432220356,75.92920211827541,1.0,26.0,26.0,26.0,VEHICLE,2022,1,3
70,January,2022-01-14,Friday,2022-01-15,Ratnamala Square,Nil,Maharashtra,"20.23465588078181, 79.01543924056895",BUS,TRUCK,2,12,,,NH,Head On Collision,20.23465588078181,79.01543924056895,,,,,VEHICLE,2022,1,4
73,January,2022-01-14,Friday,2022-01-15,Kakkanad,Nil,Kerala,"10.011092687874317, 76.3421924153654",TWO WHEELER,DIVIDER,1,1,19,MALE,SH,Fixed Object Collision,10.011092687874315,76.3421924153654,1.0,19.0,19.0,19.0,OBJECT,2022,1,4
75,January,2022-01-15,Saturday,2022-01-16,Chimrani,Nil,Rajasthan,"27.118968964289532, 73.67248311917048",CAR,BUS,5,2,"22,12,10,10,65",BOTH,NH,Others,27.11896896428953,73.67248311917048,5.0,23.8,10.0,65.0,VEHICLE,2022,1,5
78,January,2022-01-16,Sunday,2022-01-17,Mandla,Nil,Madhya Pradesh,"22.601570130287165, 80.38020370045963",TRACTOR,NIL,3,0,"18,18,17",MALE,SH,Run Off Road,22.601570130287165,80.38020370045963,3.0,17.666666666666668,17.0,18.0,UNKNOWN,2022,1,6
81,January,2022-01-17,Monday,2022-01-18,Sahson Crossing,Nil,Uttar Pradesh,"25.484100715535924, 81.97930524084148",PEDESTRIAN,VAN,1,0,45,MALE,SH,Hit and Run,25.484100715535924,81.97930524084148,1.0,45.0,45.0,45.0,VEHICLE,2022,1,0
82,January,2022-01-17,Monday,2022-01-18,Gurukul Vidhyala Road,Prayagraj,Uttar Pradesh,"25.513167610968466, 81.8661763224527",TRUCK,CANAL,1,1,31,MALE,NH,Vehicle Overturn,25.513167610968463,81.8661763224527,1.0,31.0,31.0,31.0,OBJECT,2022,1,0
84,January,2022-01-18,Tuesday,2022-01-19,Khanpur,Nil,Rajasthan,"24.767306763386095, 76.39400027518448",NIL,NIL,1,2,25,MALE,NH,Others,24.76730676338609,76.39400027518448,1.0,25.0,25.0,25.0,UNKNOWN,2022,1,1
85,January,2022-01-18,Tuesday,2022-01-19,Katesar,Nil,Uttar Pradesh,"27.76748297692978, 80.84767138661462",TWO WHEELER,TRUCK,1,1,40,MALE,SH,Hit From Side,27.76748297692978,80.84767138661462,1.0,40.0,40.0,40.0,VEHICLE,2022,1,1
88,January,2022-01-20,Thursday,2022-01-20,Pali Wala,Nil,Rajasthan,"29.449454153821858, 73.87581502395967",TRUCK,TRUCK,3,0,24,MALE,NH,Head On Collision,29.449454153821858,73.87581502395967,1.0,24.0,24.0,24.0,VEHICLE,2022,1,3
91,January,2022-01-19,Wednesday,2022-01-21,Veeraghattam,Nil,Andhra Pradesh,"18.687104227193668, 83.61095538153519",TWO WHEELER,CULVERT,1,0,40,MALE,SH,Fixed Object Collision,18.687104227193668,83.61095538153519,1.0,40.0,40.0,40.0,VEHICLE,2022,1,2
92,January,2022-01-19,Wednesday,2022-01-21,Meliaputti,Nil,Andhra Pradesh,"18.77406040183497, 84.17383431188013",PEDESTRIAN,VAN,1,0,40,MALE,SH,Hit From Side,18.77406040183497,84.17383431188013,1.0,40.0,40.0,40.0,VEHICLE,2022,1,2
93,January,2022-01-19,Wednesday,2022-01-21,Hotel Sheraton,Indore,Madhya Pradesh,"22.7741266742808, 75.93616228783264",PEDESTRIAN,TRUCK,1,0,50,MALE,NH,Hit and Run,22.7741266742808,75.93616228783264,1.0,50.0,50.0,50.0,VEHICLE,2022,1,2
94,January,2022-01-21,Friday,2022-01-22,Naranpura,Ahmedabad,Gujarat,"23.056229102084114, 72.54839248535511",TWO WHEELER,TRUCK,1,1,52,MALE,NH,Hit From Back,23.056229102084117,72.54839248535511,1.0,52.0,52.0,52.0,VEHICLE,2022,1,4
95,January,2022-01-21,Friday,2022-01-22,KR Puram,Bengaluru,Karnataka,"13.013395634204327, 77.69952194675402",PEDESTRIAN,TRUCK,1,0,28,MALE,NH,Hit and Run,13.013395634204327,77.69952194675402,1.0,28.0,28.0,28.0,VEHICLE,2022,1,4
96,January,2022-01-20,Thursday,2022-01-22,Shewalwadi,Pune,Maharashtra,"18.496302418026232, 73.97119797630161",TWO WHEELER,UNIDENTIFIED,1,2,21,MALE,NH,Hit and Run,18.496302418026232,73.97119797630161,1.0,21.0,21.0,21.0,UNKNOWN,2022,1,3
99,January,2022-01-22,Saturday,2022-01-23,O'Coqueiro Junction,Nil,Goa,"15.531446645685621, 73.82481100458244",TWO WHEELER,TRUCK,2,0,"17,20",MALE,NH,Others,15.53144664568562,73.82481100458244,2.0,18.5,17.0,20.0,VEHICLE,2022,1,5
100,January,2022-01-23,Sunday,2022-01-24,Shikrapur,Nil,Maharashtra,"18.684734908209716, 74.11586934949585",TWO WHEELER,TRUCK,5,5,,,SH,Others,18.68473490820972,74.11586934949585,,,,,VEHICLE,2022,1,6
102,January,2022-01-22,Saturday,2022-01-24,Chunar,Nil,Uttar Pradesh,"25.10276774054831, 82.8672602963507",TWO WHEELER,TREE,1,0,30,MALE,NH,Fixed Object Collision,25.10276774054831,82.8672602963507,1.0,30.0,30.0,30.0,OBJECT,2022,1,5
103,January,2022-01-22,Saturday,2022-01-24,Morod,Indore,Madhya Pradesh,"22.637960655646225, 75.86771888717327",TWO WHEELER,TRUCK,1,2,30,FEMALE,NH,Others,22.637960655646225,75.86771888717327,1.0,30.0,30.0,30.0,VEHICLE,2022,1,5
105,January,2022-01-22,Saturday,2022-01-24,Bhumkar Chowk,Nil,Maharashtra,"18.605266069304246, 73.75217758015306",TWO WHEELER,TRUCK,1,0,28,MALE,NH,With Parked Vehicle,18.60526606930425,73.75217758015306,1.0,28.0,28.0,28.0,VEHICLE,2022,1,5
106,January,2022-01-25,Tuesday,2022-01-25,Selsura,Nil,Maharashtra,"20.637156359208134, 78.47350022936271",CAR,RIVER,7,0,,MALE,NH,Vehicle Overturn,20.63715635920813,78.47350022936271,,,,,OBJECT,2022,1,1
107,January,2022-01-23,Sunday,2022-01-25,Pappanchatram,Nil,Tamil Nadu,"13.032318332628448, 80.03671137585036",CAR,TRUCK,1,1,32,FEMALE,NH,Others,13.032318332628448,80.03671137585036,1.0,32.0,32.0,32.0,VEHICLE,2022,1,6
109,January,2022-01-23,Sunday,2022-01-25,Papanchataram,Nil,Tamil Nadu,"13.032541681756019, 80.0371376290023",CAR,CAR,1,0,43,FEMALE,NH,Head On Collision,13.03254168175602,80.0371376290023,1.0,43.0,43.0,43.0,VEHICLE,2022,1,6
110,January,2022-01-23,Sunday,2022-01-25,Pithampur,Indore,Madhya Pradesh,"22.594745827533117, 75.7003748573627",TWO WHEELER,TRUCK,1,0,27,MALE,NH,Hit From Back,22.59474582753312,75.7003748573627,1.0,27.0,27.0,27.0,VEHICLE,2022,1,6
113,January,2022-01-27,Thursday,2022-01-27,Chilakaluripet,Nil,Andhra Pradesh,"16.080937609341778, 80.15831819833785",CAR,TRUCK,2,1,,MALE,NH,Others,16.080937609341778,80.15831819833785,,,,,VEHICLE,2022,1,3
115,January,2022-01-27,Thursday,2022-01-28,Ranmochan T Point,Nil,Maharashtra,"20.608413591260497, 79.85587713179397",CAR,TRACTOR,2,2,"47,54",MALE,NH,Hit From Side,20.608413591260497,79.85587713179397,2.0,50.5,47.0,54.0,VEHICLE,2022,1,3
116,January,2022-01-26,Wednesday,2022-01-28,Banashankari,Bengaluru,Karnataka,"12.953940017532453, 77.54359380855148",TWO WHEELER,DIVIDER,1,0,37,MALE,NH,Fixed Object Collision,12.953940017532451,77.54359380855148,1.0,37.0,37.0,37.0,OBJECT,2022,1,2
117,January,2022-01-27,Thursday,2022-01-28,Darsi,Nil,Andhra Pradesh,"15.75873311270647, 79.67422646980734",CAR,TRACTOR,2,1,,MALE,NH,Hit From Back,15.75873311270647,79.67422646980734,,,,,VEHICLE,2022,1,3
118,January,2022-01-27,Thursday,2022-01-28,Kolukhedi,Nil,Madhya Pradesh,"23.53469623782937, 77.22595938027769",SUV,TREE,1,3,22,MALE,NH,Fixed Object Collision,23.53469623782937,77.22595938027769,1.0,22.0,22.0,22.0,OBJECT,2022,1,3
119,January,2022-01-26,Wednesday,2022-01-29,Ummalada,Nil,Andhra Pradesh,"17.647684108050818, 82.99488444844167",TWO WHEELER,LORRY,2,0,"45,40",BOTH,SH,Others,17.647684108050818,82.99488444844167,2.0,42.5,40.0,45.0,VEHICLE,2022,1,2
120,January,2022-01-27,Thursday,2022-01-29,Harsil,Nil,Uttarakhand,"31.037472816888762, 78.73627773458514",CAR,GORGE,2,2,"50,20",BOTH,NH,Vehicle Overturn,31.03747281688876,78.73627773458514,2.0,35.0,20.0,50.0,OBJECT,2022,1,3
121,January,2022-01-28,Friday,2022-01-29,Sujatha Nagar,Nil,Telangana,"17.490912151289685, 80.57321678720476",PICK UP,TRUCK,4,8,"27,40,52,42",FEMALE,SH,Others,17.490912151289685,80.57321678720476,4.0,40.25,27.0,52.0,VEHICLE,2022,1,4
123,January,2022-01-28,Friday,2022-01-30,Badangi,Nil,Andhra Pradesh,"18.4954422867835, 83.36932057015237",PEDESTRIAN,UNIDENTIFIED,1,0,12,MALE,SH,Hit and Run,18.4954422867835,83.36932057015237,1.0,12.0,12.0,12.0,UNKNOWN,2022,1,4
124,January,2022-01-30,Sunday,2022-01-30,Kamam,Nil,Telangana,"18.428038071455486, 79.13507468317677",PEDESTRIAN,SUV,4,2,"27,20,32,14",BOTH,NH,Hit and Run,18.42803807145549,79.13507468317677,4.0,23.25,14.0,32.0,VEHICLE,2022,1,6
129,February,2022-01-31,Monday,2022-02-01,Ranigaon,Nil,Rajasthan,"27.092451869286297, 74.42748015803826",CAR,NIL,1,3,35,MALE,SH,Run Off Road,27.092451869286297,74.42748015803826,1.0,35.0,35.0,35.0,UNKNOWN,2022,1,0
131,February,2022-02-01,Tuesday,2022-02-01,Bandri,Nil,Madhya Pradesh,"24.044934899671098, 78.6394929061528",CAR,UNIDENTIFIED,3,0,"21,23,25",MALE,NH,Hit and Run,24.044934899671095,78.6394929061528,3.0,23.0,21.0,25.0,UNKNOWN,2022,2,1
132,February,2022-02-01,Tuesday,2022-02-01,Balaghat,Nil,Madhya Pradesh,"21.815346974057224, 80.17806276395049",CAR,TRUCK,1,3,,MALE,SH,Others,21.815346974057224,80.17806276395049,,,,,VEHICLE,2022,2,1
133,February,2022-01-31,Monday,2022-02-02,Gondal road,Rajkot,Gujarat,"22.209325349494875, 70.8009083158295",TWO WHEELER,TRUCK,1,1,18,MALE,NH,Hit From Back,22.209325349494875,70.8009083158295,1.0,18.0,18.0,18.0,VEHICLE,2022,1,0
136,February,2022-02-02,Wednesday,2022-02-03,AB Road Junction,Nil,Madhya Pradesh,"22.48983884444052, 75.66671181495484",TWO WHEELER,UNIDENTIFIED,1,2,27,FEMALE,NH,Hit and Run,22.48983884444052,75.66671181495484,1.0,27.0,27.0,27.0,UNKNOWN,2022,2,2
138,February,2022-02-03,Thursday,2022-02-04,Lankelapalem,Vizag,Andhra Pradesh,"17.666465319754213, 83.09425625830963",PEDESTRIAN,UNIDENTIFIED,1,0,65,FEMALE,SH,Hit and Run,17.666465319754213,83.09425625830963,1.0,65.0,65.0,65.0,UNKNOWN,2022,2,3
139,February,2022-02-03,Thursday,2022-02-04,Barmer Rd,Nil,Rajasthan,"26.910703910916826, 70.9337404020313",SUV,TRUCK,3,1,"32,5",BOTH,NH,Others,26.910703910916823,70.9337404020313,2.0,18.5,5.0,32.0,VEHICLE,2022,2,3
142,February,2022-02-03,Thursday,2022-02-04,Nettoor,Kochi,Kerala,"9.929597110544417, 76.31779942841041",TWO WHEELER,TRUCK,1,0,35,MALE,NH,Hit From Back,9.929597110544416,76.31779942841041,1.0,35.0,35.0,35.0,VEHICLE,2022,2,3
143,February,2022-02-02,Wednesday,2022-02-04,Nadiad,Nil,Gujarat,"22.682739814166254, 72.90717749509794",TRUCK,TRUCK,1,1,40,MALE,NH,Others,22.68273981416625,72.90717749509794,1.0,40.0,40.0,40.0,VEHICLE,2022,2,2
144,February,2022-02-03,Thursday,2022-02-05,Nadbai Police Station,Nil,Rajasthan,"27.21585406766396, 77.20152201303823",TWO WHEELER,TRACTOR,1,2,,MALE,SH,Others,27.21585406766396,77.20152201303823,,,,,VEHICLE,2022,2,3
145,February,2022-02-03,Thursday,2022-02-05,Bhilwadi Ghati,Nil,Rajasthan,"27.41685838705793, 76.10444383342535",CAR,TRUCK,3,0,,,NH,Head On Collision,27.41685838705793,76.10444383342535,,,,,VEHICLE,2022,2,3
146,February,2022-02-03,Thursday,2022-02-05,Tiruvallur,Nil,Tamil Nadu,"13.12297281283396, 79.91173226564752",TWO WHEELER,TRUCK,1,1,37,MALE,SH,Hit From Back,13.12297281283396,79.91173226564752,1.0,37.0,37.0,37.0,VEHICLE,2022,2,3
147,February,2022-02-03,Thursday,2022-02-05,Thiruvallur,Nil,Tamil Nadu,"13.126032102413575, 79.91089197828818",PEDESTRIAN,TRUCK,1,0,65,MALE,SH,Hit and Run,13.126032102413577,79.91089197828818,1.0,65.0,65.0,65.0,VEHICLE,2022,2,3
148,February,2022-02-04,Friday,2022-02-05,Safipur,Nil,Uttar Pradesh,"26.738629447023207, 80.35052740128569",CAR,TRUCK,3,1,,BOTH,SH,Hit From Side,26.738629447023207,80.35052740128569,,,,,VEHICLE,2022,2,4
